id,name,email,phone,salary,date_joined,department,notes,position,location,status,manager,dob,gender,contract_type,last_updated
7,Bob,user42222@example.com,+254750328205,113101.0,2025-05-25 17:43:30.034320,Finance,VIP customer,,,,,,,,
9,,user469490@example.com,+254766126355,112069.0,2023-10-28 17:43:30.034340,IT,VIP customer,,,,,,,,
11,Eve,user497528@example.com,+254755012395,115695.0,2023-09-12 17:43:30.034372,,VIP customer,,,,,,,,
12,Bob,user297772@example.com,+254753479908,79686.0,2023-08-11 17:43:30.034378,Sales,,,,,,,,,
15,Mary,user639770@example.com,+254786668690,35192.0,2023-08-23 17:43:30.034397,IT,,,,,,,,,
16,Mary,user863901@example.com,+254762928436,38391.0,2025-12-01 17:43:30.034404,Sales,,,,,,,,,
17,John,user577258@example.com,+254789547267,80739.0,2024-08-30 17:43:30.034410,,Follow up required,,,,,,,,
22,Eve,user813239@example.com,+254763287411,44979.0,2024-07-13 17:43:30.034442,Sales,,,,,,,,,
33,Alice,user36983@example.com,+254771581359,25701.0,2023-03-03 17:43:30.034507,,Follow up required,,,,,,,,
34,Alice,user54987@example.com,+254791237061,36524.0,2025-07-17 17:43:30.034513,IT,Follow up required,,,,,,,,
39,Eve,user721591@example.com,+254797173718,142806.0,2023-06-23 17:43:30.034541,HR,,,,,,,,,
44,Mary,user216751@example.com,+254726534408,31503.0,2025-05-14 17:43:30.034709,Finance,VIP customer,,,,,,,,
52,John,user288184@example.com,+254795419007,117034.0,2022-09-19 17:43:30.034754,,VIP customer,,,,,,,,
53,John,user599542@example.com,+254757827578,128750.0,2023-08-18 17:43:30.034760,Sales,,,,,,,,,
58,Eve,user265179@example.com,+254762980107,44774.0,2023-05-02 17:43:30.034790,HR,,,,,,,,,
59,John,user330606@example.com,+254779517250,53861.0,2022-11-20 17:43:30.034796,HR,,,,,,,,,
62,Bob,user58@example.com,+254723050989,30914.0,2022-04-25 17:43:30.034818,,Paid late,,,,,,,,
63,Alice,user181490@example.com,+254753481688,139935.0,2023-02-06 17:43:30.034828,,VIP customer,,,,,,,,
64,Mary,user647600@example.com,+254788281572,40082.0,2022-10-01 17:43:30.034838,,,,,,,,,,
65,Alice,user454328@example.com,+254781982746,104180.0,2022-07-22 17:43:30.034848,HR,,,,,,,,,
73,Bob,user775080@example.com,+254761160503,92882.0,2022-08-14 17:43:30.034929,Finance,Paid late,,,,,,,,
74,Alice,user9390@example.com,+254713009812,106116.0,2024-08-29 17:43:30.034939,Sales,Paid late,,,,,,,,
83,Alice,user702144@example.com,+254716156105,143922.0,2025-11-09 17:43:30.035031,Finance,,,,,,,,,
84,Eve,user571870@example.com,+254746582319,73356.0,2022-04-22 17:43:30.035041,HR,,,,,,,,,
85,Bob,user466383@example.com,+254769463297,47667.0,2021-08-07 17:43:30.035053,Finance,VIP customer,,,,,,,,
86,Bob,user942566@example.com,+254791284986,108791.0,2021-04-12 17:43:30.035071,,,,,,,,,,
89,Bob,user284551@example.com,+254781004281,76669.0,2022-02-27 17:43:30.035089,,Paid late,,,,,,,,
90,Alice,user978556@example.com,+254737211145,142195.0,2023-08-16 17:43:30.035095,HR,,,,,,,,,
91,,user424762@example.com,+254742100151,149417.0,2022-05-03 17:43:30.035102,,VIP customer,,,,,,,,
92,Alice,user728180@example.com,+254790062859,146717.0,2021-11-24 17:43:30.035107,,Paid late,,,,,,,,
94,Bob,user881779@example.com,+254723134485,55454.0,2024-09-26 17:43:30.035118,HR,Paid late,,,,,,,,
